n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,0.98,1,1,1.0471975511966,1e+07,794841,1462000,423605,9145,1015
50,0.05,0.98,1.19431718340557,1,0.930842267730309,5501445,589396,844924,289091,10000,1080
50,0.05,0.98,1.37248327573747,1,0.81448698426402,3261821,429575,508460,200959,10000,1118
50,0.05,0.98,1.53208888623796,1,0.698131700797732,2260735,346852,349376,157947,10000,1141
50,0.05,0.98,1.67097562282587,1,0.581776417331443,1713888,292866,260312,129634,10000,1130
50,0.05,0.98,1.78726528064682,1,0.465421133865154,1368189,252840,205274,111340,10000,991
50,0.05,0.98,1.87938524157182,1,0.349065850398866,1195900,232919,180664,104188,10000,809
50,0.05,0.98,1.94608974115965,1,0.232710566932577,1078265,217710,166501,99080,10000,673
50,0.05,0.98,1.98647671548389,1,0.116355283466289,1011300,208851,160334,97570,10000,493
50,0.05,0.98,2,1,0,991826,206675,158865,97376,10000,460
