n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
50,0.05,1,1,1,1.0471975511966,3522819,279493,514262,148875,10000,2910
50,0.05,1,1.19431718340557,1,0.930842267730309,2154811,231349,330862,113617,10000,2599
50,0.05,1,1.37248327573747,1,0.81448698426402,1492366,197938,233241,92549,10000,2404
50,0.05,1,1.53208888623796,1,0.698131700797732,1121027,172690,173860,78618,10000,2272
50,0.05,1,1.67097562282587,1,0.581776417331443,940935,160864,142761,71494,10000,2175
50,0.05,1,1.78726528064682,1,0.465421133865154,789297,145934,118753,64132,10000,2000
50,0.05,1,1.87938524157182,1,0.349065850398866,694009,135172,104368,59759,10000,1985
50,0.05,1,1.94608974115965,1,0.232710566932577,668164,134290,102808,61035,10000,1787
50,0.05,1,1.98647671548389,1,0.116355283466289,629503,130193,100185,60950,10000,1719
50,0.05,1,2,1,0,611164,127007,97728,59572,10000,1756
