n,m,R,z.m,z.f,theta,total.mut,netben.mut,SA.mut,netben.SA.mut,netben.fix,SA.ben.fix
20,0.05,1,1,1,1.0471975511966,669622,196969,197139,82900,10000,1997
20,0.05,1,1.19431718340557,1,0.930842267730309,537700,170270,144382,63992,10000,1567
20,0.05,1,1.37248327573747,1,0.81448698426402,436323,145774,103851,48797,10000,1407
20,0.05,1,1.53208888623796,1,0.698131700797732,390718,135659,82331,40832,10000,1154
20,0.05,1,1.67097562282587,1,0.581776417331443,359605,128425,64915,33870,10000,900
20,0.05,1,1.78726528064682,1,0.465421133865154,316646,115043,48246,26355,10000,687
20,0.05,1,1.87938524157182,1,0.349065850398866,305327,112590,37994,22243,10000,507
20,0.05,1,1.94608974115965,1,0.232710566932577,289350,107507,28988,18138,10000,339
20,0.05,1,1.98647671548389,1,0.116355283466289,281911,105999,25073,16448,10000,252
20,0.05,1,2,1,0,272614,102840,24372,16108,10000,186
